0,1,2,3,4,5,6,7,8,9,10,11,12
5124.0,1760.0,9124.0,128,1760.0,288,0,0,1,F1,1.9724209965396802,13.41,20.82745605094917
35.0,1760.0,8457.0,0,0.0,0,-1,-1,-1,fail,0.0,5.43,0.0
5124.0,2048.0,9124.0,128,2048.0,224,0,0,1,F1,1.9999679367439034,12.55,19.363079940123647
35.0,2048.0,8457.0,0,0.0,0,-1,-1,-1,fail,0.0,5.59,0.0
5124.0,2560.0,9124.0,384,509.0,368,0,1,0,F2,1.9999574063631935,13.42,16.731343807554612
35.0,2560.0,8457.0,0,0.0,0,-1,-1,-1,fail,0.0,5.97,0.0
5124.0,4096.0,9124.0,384,509.0,368,0,1,0,F2,1.9999574063631935,13.48,16.731343807554612
35.0,4096.0,8457.0,0,0.0,0,-1,-1,-1,fail,0.0,6.41,0.0
5124.0,1760.0,9124.0,128,1760.0,288,0,0,1,F1,1.9724209965396802,13.29,20.82745605094917
35.0,1760.0,8457.0,0,0.0,0,-1,-1,-1,fail,0.0,5.03,0.0
5124.0,2048.0,9124.0,128,2048.0,224,0,0,1,F1,1.9999679367439034,13.09,19.363079940123647
35.0,2048.0,8457.0,0,0.0,0,-1,-1,-1,fail,0.0,5.54,0.0
5124.0,2560.0,9124.0,384,509.0,368,0,1,0,F2,1.9999574063631935,13.34,16.731343807554612
35.0,2560.0,8457.0,0,0.0,0,-1,-1,-1,fail,0.0,5.3,0.0
5124.0,4096.0,9124.0,384,509.0,368,0,1,0,F2,1.9999574063631935,13.46,16.731343807554612
35.0,4096.0,8457.0,0,0.0,0,-1,-1,-1,fail,0.0,6.06,0.0
7680.0,2560.0,16.0,256,1280.0,16,1,0,0,F2,1.6333897903030503,0.0,2.2105924850127168
7680.0,2560.0,32.0,384,854.0,32,1,0,0,F2,1.7789716745344286,0.0,4.382204766111325
7680.0,2560.0,64.0,128,2560.0,64,0,0,1,F1,1.8309661973778975,0.0,8.47285477985174
7680.0,2560.0,128.0,128,2560.0,128,0,0,1,F1,1.9999690149475142,0.0,14.846882162804876
7680.0,2560.0,16.0,256,1280.0,16,1,0,0,F2,1.6333897903030503,0.0,2.2105924850127168
7680.0,2560.0,32.0,384,854.0,32,1,0,0,F2,1.7789716745344286,0.0,4.382204766111325
7680.0,2560.0,64.0,128,2560.0,64,0,0,1,F1,1.8309661973778975,0.0,8.47285477985174
7680.0,2560.0,128.0,128,2560.0,128,0,0,1,F1,1.9999690149475142,0.0,14.846882162804876
3072.0,1024.0,16.0,512,512.0,16,1,0,0,F2,1.735433196098477,0.0,2.253345664711019
3072.0,1024.0,32.0,512,512.0,32,1,0,0,F2,1.8980620428901416,0.0,4.457347429413937
3072.0,1024.0,64.0,256,1024.0,64,0,0,1,F1,1.969778400613897,0.0,8.557662371800342
3072.0,1024.0,128.0,384,1024.0,128,0,0,1,F1,1.999966902864116,0.0,14.67585965161626
3072.0,1024.0,16.0,512,512.0,16,1,0,0,F2,1.735433196098477,0.0,2.253345664711019
3072.0,1024.0,32.0,512,512.0,32,1,0,0,F2,1.8980620428901416,0.0,4.457347429413937
3072.0,1024.0,64.0,256,1024.0,64,0,0,1,F1,1.969778400613897,0.0,8.557662371800342
3072.0,1024.0,128.0,384,1024.0,128,0,0,1,F1,1.999966902864116,0.0,14.67585965161626
